,lastUpdatedAt,actualLandingTime,estimatedLandingTime,expectedTimeOnBelt,flightDirection,flightName,flightNumber,id,isOperationalFlight,mainFlight,prefixIATA,prefixICAO,airlineCode,scheduleDateTime,scheduleDate,scheduleTime,serviceType,terminal,schemaVersion,aircraftType.iataMain,aircraftType.iataSub,baggageClaim.belts,publicFlightState.flightStates,IATA,route.eu,route.visa,actualOffBlockTime,aircraftRegistration,codeshares.codeshares,expectedSecurityFilter,gate,pier,checkinAllocations.checkinAllocations,expectedTimeBoarding,expectedTimeGateClosing,expectedTimeGateOpen,transferPositions.transferPositions,publicEstimatedOffBlockTime,landingDelay,vertrekDelay
0,2025-04-03T01:58:05.077+02:00,2025-04-02 23:17:46,2025-04-02 23:17:46,2025-04-02T23:45:17.995+02:00,A,OR3805,3805,142058721185306502,True,OR3805,OR,TFL,231.0,2025-04-03 00:10:00,2025-04-03,00:10:00,J,4.0,4,737,7M8,['22'],"['ARR', 'EXP']","BJL, SID",N,False,,,,,,,,,,,,,-3134.0,
1,2025-04-03T00:31:59.382+02:00,,,,D,MP8331,8331,142058720900927085,True,MP8331,MP,MPH,122.0,2025-04-03 00:15:00,2025-04-03,00:15:00,F,,4,74F,74Y,,['DEP'],JNB,N,False,2025-04-03 00:11:01,PHCKA,,,,,,,,,,,,-239.0
2,2025-04-03T02:58:04.503+02:00,2025-04-03 00:00:31,2025-04-03 00:00:31,2025-04-03T00:44:24.946+02:00,A,HV5360,5360,142058720229673748,True,HV5360,HV,TRA,164.0,2025-04-03 00:20:00,2025-04-03,00:20:00,J,1.0,4,737,73H,['6'],"['ARR', 'EXP']",FAO,S,False,,,['KL2570'],,,,,,,,,,-1169.0,
3,2025-04-03T02:58:04.503+02:00,2025-04-03 00:00:31,2025-04-03 00:00:31,2025-04-03T00:44:24.946+02:00,A,KL2570,2570,142058720607955902,True,HV5360,KL,KLM,100.0,2025-04-03 00:20:00,2025-04-03,00:20:00,J,1.0,4,737,73H,['6'],"['ARR', 'EXP']",FAO,S,False,,,['KL2570'],,,,,,,,,,-1169.0,
4,2025-04-03T02:06:31.787+02:00,2025-04-03 00:30:02,2025-04-03 00:30:02,2025-04-03T01:26:12.092+02:00,A,HV5750,5750,142058720229684626,True,HV5750,HV,TRA,164.0,2025-04-03 00:25:00,2025-04-03,00:25:00,J,3.0,4,32S,32Q,['15'],['ARR'],CMN,N,False,,,['KL2543'],,,,,,,,,,302.0,
5,2025-04-03T02:06:31.787+02:00,2025-04-03 00:30:02,2025-04-03 00:30:02,2025-04-03T01:26:12.092+02:00,A,KL2543,2543,142058720607955686,True,HV5750,KL,KLM,100.0,2025-04-03 00:25:00,2025-04-03,00:25:00,J,3.0,4,32S,32Q,['15'],['ARR'],CMN,N,False,,,['KL2543'],,,,,,,,,,302.0,
6,2025-04-03T02:06:35.161+02:00,2025-04-03 00:15:24,2025-04-03 00:15:24,2025-04-03T01:03:44.000+02:00,A,HV6674,6674,142058720229783350,True,HV6674,HV,TRA,164.0,2025-04-03 00:35:00,2025-04-03,00:35:00,J,1.0,4,32S,32Q,['4'],"['ARR', 'EXP']",TFS,S,False,,,['KL2560'],,,,,,,,,,-1176.0,
7,2025-04-03T02:06:35.161+02:00,2025-04-03 00:15:24,2025-04-03 00:15:24,2025-04-03T01:03:44.000+02:00,A,KL2560,2560,142058720607955828,True,HV6674,KL,KLM,100.0,2025-04-03 00:35:00,2025-04-03,00:35:00,J,1.0,4,32S,32Q,['4'],"['ARR', 'EXP']",TFS,S,False,,,['KL2560'],,,,,,,,,,-1176.0,
8,2025-04-03T02:02:13.168+02:00,2025-04-03 00:22:01,2025-04-03 00:22:01,2025-04-03T01:27:22.324+02:00,A,HV6642,6642,142058720229783124,True,HV6642,HV,TRA,164.0,2025-04-03 00:40:00,2025-04-03,00:40:00,J,3.0,4,737,73H,['17'],"['ARR', 'EXP']",TBS,N,False,,,['KL2629'],,,,,,,,,,-1079.0,
9,2025-04-03T02:02:13.168+02:00,2025-04-03 00:22:01,2025-04-03 00:22:01,2025-04-03T01:27:22.324+02:00,A,KL2629,2629,142058720607958288,True,HV6642,KL,KLM,100.0,2025-04-03 00:40:00,2025-04-03,00:40:00,J,3.0,4,737,73H,['17'],"['ARR', 'EXP']",TBS,N,False,,,['KL2629'],,,,,,,,,,-1079.0,
10,2025-04-03T01:32:50.264+02:00,2025-04-03 00:17:46,2025-04-03 00:17:46,2025-04-03T00:57:34.129+02:00,A,KL1682,1682,142058720607857412,True,KL1682,KL,KLM,100.0,2025-04-03 00:45:00,2025-04-03,00:45:00,J,2.0,4,737,73H,['12'],"['ARR', 'EXP']",LIN,S,False,,,['DL9392'],,,,,,,,,,-1634.0,
11,2025-04-03T01:32:50.264+02:00,2025-04-03 00:17:46,2025-04-03 00:17:46,2025-04-03T00:57:34.129+02:00,A,DL9392,9392,142058719637844322,True,KL1682,DL,DAL,58.0,2025-04-03 00:45:00,2025-04-03,00:45:00,J,2.0,4,737,73H,['12'],"['ARR', 'EXP']",LIN,S,False,,,['DL9392'],,,,,,,,,,-1634.0,
12,2025-04-03T01:58:05.446+02:00,2025-04-03 00:32:12,2025-04-03 00:32:12,2025-04-03T00:54:13.000+02:00,A,HV6146,6146,142058720229769442,True,HV6146,HV,TRA,164.0,2025-04-03 01:00:00,2025-04-03,01:00:00,J,1.0,4,737,73H,['4'],"['ARR', 'EXP']",ALC,S,False,,,['KL2642'],,,,,,,,,,-1668.0,
13,2025-04-03T01:58:05.446+02:00,2025-04-03 00:32:12,2025-04-03 00:32:12,2025-04-03T00:54:13.000+02:00,A,KL2642,2642,142058720607958422,True,HV6146,KL,KLM,100.0,2025-04-03 01:00:00,2025-04-03,01:00:00,J,1.0,4,737,73H,['4'],"['ARR', 'EXP']",ALC,S,False,,,['KL2642'],,,,,,,,,,-1668.0,
14,2025-04-03T02:32:11.169+02:00,2025-04-03 00:58:47,2025-04-03 00:58:47,2025-04-03T01:28:41.000+02:00,A,HV6888,6888,142058720229788908,True,HV6888,HV,TRA,164.0,2025-04-03 01:00:00,2025-04-03,01:00:00,J,1.0,4,737,73H,['2'],['ARR'],KEF,S,False,,,,,,,,,,,,,-73.0,
15,2025-04-03T02:35:49.165+02:00,2025-04-03 01:08:11,2025-04-03 01:08:11,2025-04-03T01:32:12.000+02:00,A,HV6732,6732,142058720229785788,True,HV6732,HV,TRA,164.0,2025-04-03 01:45:00,2025-04-03,01:45:00,J,1.0,4,32S,32Q,['2'],"['ARR', 'EXP']",SVQ,S,False,,,['KL2559'],,,,,,,,,,-2209.0,
16,2025-04-03T02:35:49.165+02:00,2025-04-03 01:08:11,2025-04-03 01:08:11,2025-04-03T01:32:12.000+02:00,A,KL2559,2559,142058720607955772,True,HV6732,KL,KLM,100.0,2025-04-03 01:45:00,2025-04-03,01:45:00,J,1.0,4,32S,32Q,['2'],"['ARR', 'EXP']",SVQ,S,False,,,['KL2559'],,,,,,,,,,-2209.0,
17,2025-04-02T18:11:41.674+02:00,,,,A,MNB9406,9406,142058787696128956,True,MNB9406,MB,MNB,328.0,2025-04-03 03:00:00,2025-04-03,03:00:00,F,,4,ABF,ABX,,['CNX'],LEJ,N,False,,,,,,,,,,,,,,
18,2025-04-02T18:11:48.586+02:00,,,,D,MNB9406,9406,142058787696128957,True,MNB9406,MB,MNB,328.0,2025-04-03 04:30:00,2025-04-03,04:30:00,F,,4,ABF,ABX,,['CNX'],IST,N,False,,,,,,,,,,,,,,
19,2025-04-03T05:05:32.344+02:00,2025-04-03 05:00:35,2025-04-03 05:00:35,,A,QY1446,1446,142058721488707318,True,QY1446,QY,BCS,289.0,2025-04-03 05:00:00,2025-04-03,05:00:00,F,,4,ABF,ABY,,['LND'],LEJ,S,False,,,,,,,,,,,,,35.0,
20,2025-04-03T04:45:51.780+02:00,2025-04-03 04:37:49,2025-04-03 04:37:49,,A,KZ004,4,142058719078322408,True,KZ004,KZ,NCA,131.0,2025-04-03 05:05:00,2025-04-03,05:05:00,F,,4,74F,74N,,"['LND', 'EXP']","NRT, ANC",N,False,,,,,,,,,,,,,-1631.0,
21,2025-04-03T05:23:52.138+02:00,2025-04-03 05:18:16,2025-04-03 05:18:16,,A,FX4235,4235,142058719959690308,True,FX4235,FX,FDX,219.0,2025-04-03 05:17:00,2025-04-03,05:17:00,F,,4,73F,73K,,['LND'],CDG,S,False,,,,,,,,,,,,,76.0,
22,2025-04-03T05:57:12.258+02:00,,,,D,HV5357,5357,142058720229673689,True,HV5357,HV,TRA,164.0,2025-04-03 05:30:00,2025-04-03,05:30:00,J,1.0,4,32S,32Q,,['DEP'],FAO,S,False,2025-04-03 05:34:04,PHYHV,['KL2669'],VF1,D59,D,"[{'endTime': '2025-04-03T04:40:00.000+02:00', 'rows': {'rows': [{'position': '2', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}, {'position': '3', 'desks': {'desks': [{'position': 1}, {'position': 2}, {'position': 3}, {'position': 4}, {'position': 5}, {'position': 6}, {'position': 7}, {'position': 8}, {'position': 9}, {'position': 10}]}}]}, 'startTime': '2025-04-03T02:30:00.000+02:00'}]",,,,,,,244.0
